Abbriviation_Code,Abbreviated,Standard_Description
1001,agnt,agent
1002,alt,alternator
1003,attn,attention
1004,bcfd,baltimore city fire department
1005,bcit,baltimore city information technology
1006,bcpd,baltimore city police department
1007,bmgc,baltimore municipal golf corporation
1008,bopa,baltimore office of promotion and the arts
1009,bat,battery
1010,boe,board of elections
1011,bmza,board of municipal and zoning appeals
1012,bldg,building
1013,bbmr,bureau of budget and management research
1014,ch,channel
1015,ck,check
1016,courts,circuit court for baltimore city
1017,cont,control
1018,cyl,cylinder
1019,dhcd,department housing community development
1020,doa,department of audits
1021,dgs,department of general services
1022,recparks,department of recreation and parks
1023,dot,department of transportation
1024,di,digital interface
1025,exh,exhaust
1026,ext,external
1027,fwd,forward
1028,gsk,gasket
1029,hr,hour
1030,habc,housing authority baltimore city
1031,cyl,hydraulic
1032,rt,ight
1033,incr,increasing
1034,inop,inoperable
1035,inspn,inspection
1036,lkd,leaked
1037,lh,left hand side
1038,lwr,lower
1039,mob,main operations base
1040,mx,maintenance
1041,man,manual
1042,mfg,manufacturing
1043,mohs,mayors office human services
1044,moed,mayors office of employment development
1045,med,medium
1046,ooms,occupational medicine and safety
1047,oem,office of emergency management
1048,pabc,parking authority baltimore
1049,pn,promissory note
1050,q,quit
1051,r,rear
1052,ref,reference
1053,rplc,replacement
1054,rh,right hand side
1055,rp,right pattern
1056,sec,second
1057,serv,service
1058,sb,service bulletin
1059,sml,small
1060,sp,system parameter
